,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
23,2000-08-26,Man City,Coventry,1,2,NH,4,3,6,4,1.0,1.0,W,L,M,M,W,L,M,M,20.0,14.0,3.0,WLMM,WLMM,3,3,0,0,0,0,0,0,0,0,-0.666666666667,-0.333333333333,0.0,0.0,6.0
24,2000-08-26,Middlesbrough,Leeds,1,2,NH,4,4,2,1,1.33333333333,2.0,D,W,M,M,W,W,M,M,12.0,3.0,3.0,DWMM,WWMM,4,6,0,0,0,0,0,0,0,0,0.666666666667,1.0,-0.666666666667,-0.666666666667,9.0
25,2000-08-26,Newcastle,Tottenham,2,0,H,3,4,4,2,1.0,1.33333333333,W,L,M,M,D,W,M,M,11.0,10.0,3.0,WLMM,DWMM,3,4,0,0,0,0,0,0,0,0,-0.333333333333,0.666666666667,-0.333333333333,-0.333333333333,1.0
26,2000-08-26,Southampton,Liverpool,3,3,NH,3,1,4,2,0.333333333333,1.0,L,D,M,M,L,W,M,M,15.0,4.0,3.0,LDMM,LWMM,1,3,0,0,0,0,0,0,0,0,-0.333333333333,-0.333333333333,-0.666666666667,-0.666666666667,11.0
27,2000-08-26,West Ham,Man United,2,2,NH,2,3,5,1,0.0,1.33333333333,L,L,M,M,D,W,M,M,9.0,1.0,3.0,LLMM,DWMM,0,4,0,0,0,0,0,0,0,0,-1.0,0.666666666667,-1.33333333333,-1.33333333333,8.0
28,2000-08-27,Aston Villa,Chelsea,1,1,NH,1,4,1,4,0.666666666667,1.0,D,D,M,M,L,W,M,M,6.0,5.0,3.0,DDMM,LWMM,2,3,0,0,0,0,0,0,0,0,0.0,0.0,-0.333333333333,-0.333333333333,1.0
29,2000-09-05,Leeds,Man City,1,2,NH,4,4,1,6,2.0,1.0,W,W,M,M,W,L,M,M,3.0,20.0,3.0,WWMM,WLMM,6,3,0,0,0,0,0,0,0,0,1.0,-0.666666666667,1.0,1.0,-17.0
30,2000-09-05,Man United,Bradford,6,0,H,5,2,3,1,1.25,1.0,D,D,W,M,D,W,L,M,1.0,17.0,4.0,DDWM,DWLM,5,4,0,0,0,0,0,0,0,0,0.5,0.25,0.25,0.25,-16.0
31,2000-09-05,Sunderland,West Ham,1,1,NH,3,4,5,7,0.75,0.25,L,L,W,M,D,L,L,M,7.0,9.0,4.0,LLWM,DLLM,3,1,0,0,0,0,0,0,0,0,-0.5,-0.75,0.5,0.5,-2.0
32,2000-09-05,Tottenham,Everton,3,2,H,4,5,4,4,1.0,1.0,L,D,W,M,D,W,L,M,10.0,13.0,4.0,LDWM,DWLM,4,4,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.0,-3.0
33,2000-09-06,Charlton,Southampton,1,1,NH,7,6,8,7,0.75,0.5,L,L,W,M,D,L,D,M,20.0,15.0,4.0,LLWM,DLDM,3,2,0,0,0,0,0,0,0,0,-0.25,-0.25,0.25,0.25,5.0
34,2000-09-06,Chelsea,Arsenal,2,2,NH,5,7,5,4,1.0,1.5,D,L,W,M,W,W,L,M,5.0,2.0,4.0,DLWM,WWLM,4,6,0,0,0,0,0,0,0,0,0.0,0.75,-0.5,-0.5,3.0
35,2000-09-06,Coventry,Newcastle,0,2,NH,5,5,5,4,1.5,1.5,W,W,L,M,W,W,L,M,14.0,11.0,4.0,WWLM,WWLM,6,6,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.0,3.0
36,2000-09-06,Derby,Middlesbrough,3,3,NH,6,5,7,4,0.5,1.0,D,L,D,M,L,D,W,M,16.0,12.0,4.0,DLDM,LDWM,2,4,0,0,0,0,0,0,0,0,-0.25,0.25,-0.5,-0.5,4.0
37,2000-09-06,Leicester,Ipswich,2,1,H,1,3,0,4,1.25,1.0,D,W,D,M,W,D,L,M,8.0,20.0,4.0,DWDM,WDLM,5,4,0,0,0,0,0,0,0,0,0.25,-0.25,0.25,0.25,-12.0
38,2000-09-06,Liverpool,Aston Villa,3,1,H,4,2,5,4,1.0,0.5,D,L,W,M,L,D,D,M,4.0,6.0,4.0,DLWM,LDDM,4,2,0,0,0,0,0,0,0,0,-0.25,-0.5,0.5,0.5,-2.0
39,2000-09-09,Bradford,Arsenal,1,1,NH,2,7,1,4,1.0,1.5,D,W,L,M,W,W,L,M,17.0,2.0,4.0,DWLM,WWLM,4,6,0,0,0,0,0,0,0,0,0.25,0.75,-0.5,-0.5,15.0
40,2000-09-09,Coventry,Leeds,0,0,NH,5,5,7,3,1.2,1.4,L,W,W,L,D,L,W,W,14.0,3.0,5.0,LWWL,DLWW,6,7,0,0,0,0,0,0,0,0,-0.4,0.4,-0.2,-0.2,11.0
41,2000-09-09,Ipswich,Aston Villa,1,2,NH,4,4,6,5,0.8,1.0,L,W,D,L,W,L,D,D,20.0,6.0,5.0,LWDL,WLDD,4,5,0,0,0,0,0,0,0,0,-0.4,-0.2,-0.2,-0.2,14.0
42,2000-09-09,Leicester,Southampton,1,0,H,3,7,1,8,1.6,0.6,W,D,W,D,D,D,L,D,8.0,15.0,5.0,WDWD,DDLD,8,3,0,0,0,0,0,0,0,0,0.4,-0.2,1.0,1.0,-7.0
43,2000-09-09,Liverpool,Man City,3,2,H,7,7,6,9,1.4,1.2,W,D,L,W,W,L,W,L,4.0,20.0,5.0,WDLW,WLWL,7,6,0,0,0,0,0,0,0,0,0.2,-0.4,0.2,0.2,-16.0
44,2000-09-09,Man United,Sunderland,3,0,H,11,4,3,6,1.6,0.8,W,D,D,W,D,L,L,W,1.0,7.0,5.0,WDDW,DLLW,8,4,0,0,0,0,0,0,0,0,1.6,-0.4,0.8,0.8,-6.0
45,2000-09-09,Middlesbrough,Everton,1,2,NH,8,7,7,7,1.0,0.8,D,L,D,W,L,D,W,L,12.0,13.0,5.0,DLDW,LDWL,5,4,0,0,0,0,0,0,0,0,0.2,0.0,0.2,0.2,-1.0
46,2000-09-09,Newcastle,Chelsea,0,0,NH,7,7,4,7,1.8,1.0,W,W,W,L,D,D,L,W,11.0,5.0,5.0,WWWL,DDLW,9,5,0,0,0,0,0,0,0,0,0.6,0.0,0.8,0.8,6.0
47,2000-09-10,Derby,Charlton,2,2,NH,9,8,10,9,0.6,0.8,D,D,L,D,D,L,L,W,16.0,20.0,5.0,DDLD,DLLW,3,4,0,0,0,0,0,0,0,0,-0.2,-0.2,-0.2,-0.2,-4.0
48,2000-09-11,Tottenham,West Ham,1,0,H,7,5,6,8,1.4,0.4,W,L,D,W,D,D,L,L,10.0,9.0,5.0,WLDW,DDLL,7,2,0,0,0,0,0,0,0,0,0.2,-0.6,1.0,1.0,1.0
49,2000-09-16,Arsenal,Coventry,2,1,H,9,5,6,7,1.4,1.2,D,W,W,L,L,W,W,L,2.0,14.0,5.0,DWWL,LWWL,7,6,0,0,0,0,0,0,0,0,0.6,-0.4,0.2,0.2,-12.0
50,2000-09-16,Aston Villa,Bradford,2,0,H,6,3,5,8,1.33333333333,0.833333333333,W,W,L,D,D,L,D,W,6.0,17.0,6.0,WWLD,DLDW,7,5,0,0,0,0,0,0,0,0,0.166666666667,-0.833333333333,0.5,0.333333333333,-11.0
51,2000-09-16,Charlton,Tottenham,1,0,H,10,8,11,6,0.833333333333,1.66666666667,D,D,L,L,W,W,L,D,20.0,10.0,6.0,DDLL,WWLD,2,7,0,0,0,0,0,0,0,0,-0.166666666667,0.333333333333,-0.833333333333,-0.833333333333,10.0
52,2000-09-16,Everton,Man United,1,3,NH,9,14,8,3,1.16666666667,1.83333333333,W,L,D,W,W,W,D,D,13.0,1.0,6.0,WLDW,WWDD,7,8,0,0,0,0,0,0,0,0,0.166666666667,1.83333333333,-0.666666666667,-0.166666666667,12.0
53,2000-09-16,Leeds,Ipswich,1,2,NH,6,5,5,8,1.16666666667,0.666666666667,L,D,L,W,L,L,W,D,3.0,20.0,6.0,LDLW,LLWD,4,4,0,0,0,0,0,0,0,0,0.166666666667,-0.5,0.5,0.0,-17.0
54,2000-09-16,Southampton,Newcastle,2,0,H,7,7,9,4,0.5,1.66666666667,L,D,D,L,D,W,W,W,15.0,11.0,6.0,LDDL,DWWW,2,10,0,0,0,0,1,0,0,0,-0.333333333333,0.5,-1.16666666667,-1.33333333333,4.0
55,2000-09-16,Sunderland,Derby,2,1,H,4,11,9,12,0.666666666667,0.666666666667,L,D,L,L,D,D,D,L,7.0,16.0,6.0,LDLL,DDDL,1,3,0,0,0,0,0,0,0,0,-0.833333333333,-0.166666666667,0.0,-0.333333333333,-9.0
