,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
23,2015-08-22,Norwich,Stoke,1,1,NH,4,2,4,3,1.0,0.3333333333333333,W,L,M,M,D,L,M,M,20.0,9.0,3.0,WLMM,DLMM,3,1,0,0,0,0,0,0,0,0,0.0,-0.3333333333333333,0.6666666666666666,0.6666666666666666,11.0
24,2015-08-22,Sunderland,Swansea,1,1,NH,3,4,7,2,0.0,1.3333333333333333,L,L,M,M,W,D,M,M,16.0,8.0,3.0,LLMM,WDMM,0,4,0,0,0,0,0,0,0,0,-1.3333333333333333,0.6666666666666666,-1.3333333333333333,-1.3333333333333333,8.0
25,2015-08-22,West Ham,Bournemouth,3,4,NH,3,0,2,2,1.0,0.0,L,W,M,M,L,L,M,M,12.0,20.0,3.0,LWMM,LLMM,3,0,0,0,0,0,0,0,0,0,0.3333333333333333,-0.6666666666666666,1.0,1.0,-8.0
26,2015-08-23,Everton,Man City,0,2,NH,5,6,2,0,1.3333333333333333,2.0,W,D,M,M,W,W,M,M,11.0,2.0,3.0,WDMM,WWMM,4,6,0,0,0,0,0,0,0,0,1.0,2.0,-0.6666666666666666,-0.6666666666666666,9.0
27,2015-08-23,Watford,Southampton,0,0,NH,2,2,2,5,0.6666666666666666,0.3333333333333333,D,D,M,M,L,D,M,M,20.0,7.0,3.0,DDMM,LDMM,2,1,0,0,0,0,0,0,0,0,0.0,-1.0,0.3333333333333333,0.3333333333333333,13.0
28,2015-08-23,West Brom,Chelsea,2,3,NH,0,2,3,5,0.3333333333333333,0.3333333333333333,D,L,M,M,L,D,M,M,13.0,1.0,3.0,DLMM,LDMM,1,1,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,12.0
29,2015-08-24,Arsenal,Liverpool,0,0,NH,2,2,3,0,1.0,2.0,W,L,M,M,W,W,M,M,3.0,6.0,3.0,WLMM,WWMM,3,6,0,0,0,0,0,0,0,0,-0.3333333333333333,0.6666666666666666,-1.0,-1.0,-3.0
30,2015-08-29,Aston Villa,Sunderland,2,2,NH,2,4,3,8,0.75,0.25,L,L,W,M,D,L,L,M,17.0,16.0,4.0,LLWM,DLLM,3,1,0,0,0,0,0,0,0,0,-0.25,-1.0,0.5,0.5,1.0
31,2015-08-29,Bournemouth,Leicester,1,1,NH,4,7,5,4,0.75,1.75,W,L,L,M,D,W,W,M,20.0,14.0,4.0,WLLM,DWWM,3,7,0,0,0,0,0,0,0,0,-0.25,0.75,-1.0,-1.0,6.0
32,2015-08-29,Chelsea,Crystal Palace,1,2,NH,5,6,7,4,1.0,1.5,W,L,D,M,W,L,W,M,1.0,10.0,4.0,WLDM,WLWM,4,6,0,0,0,0,0,0,0,0,-0.5,0.5,-0.5,-0.5,-9.0
