,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,B365H,BWH,IWH,LBH,WHH,B365D,BWD,IWD,LBD,WHD,B365A,BWA,IWA,LBA,WHA,HomeTeamLP,AwayTeamLP,MW,ENTROPY_B365,ENTROPY_BW,ENTROPY_IW,ENTROPY_LB,ENTROPY_WH,ENTROPY_H,ENTROPY_D,ENTROPY_A,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
10,2006-09-16,Inter,Sampdoria,1,1,D,3,1,2,2,1.5,0.0,W,M,M,M,L,M,M,M,1.28,1.25,1.3,1.25,1.25,4.75,5.0,4.4,4.5,4.5,11.0,10.0,8.5,10.0,10.0,1.0,12.0,2.0,0.7618960177193217,0.7595473914748635,0.8174393755482214,0.7774014352941131,0.7774014352941131,1.609308023698432,1.6083825847978626,1.6058466297888319,WMMM,LMMM,3,0,0,0,0,0,0,0,0,0,0.5,-0.5,1.5,1.5,-11.0
11,2006-09-16,Reggina,Cagliari,2,1,H,3,0,4,1,0.0,0.0,L,M,M,M,L,M,M,M,2.25,2.3,2.3,2.1,2.3,3.1,3.15,3.1,3.0,3.0,3.2,2.9,2.8,3.2,2.8,13.0,14.0,2.0,1.085174453749409,1.0894169268705864,1.0907514572107764,1.0803472543206822,1.0920642833699374,1.6087981902927884,1.6092461633397024,1.6075991972783958,LMMM,LMMM,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0.0,0.0,-1.0
12,2006-09-17,Ascoli,Messina,1,1,D,1,1,3,0,0.0,1.5,L,M,M,M,W,M,M,M,2.25,2.25,2.2,2.1,2.1,3.0,2.85,2.9,3.0,3.0,3.3,3.3,3.2,3.2,3.2,10.0,17.0,2.0,1.084744583334224,1.0859231166086152,1.0854887512090026,1.0803472543206822,1.0803472543206822,1.608948324072706,1.609203073371161,1.609324762988578,LMMM,WMMM,0,3,0,0,0,0,0,0,0,0,-1.0,0.5,-1.5,-1.5,-7.0
13,2006-09-17,Catania,Atalanta,0,0,D,1,3,0,1,1.5,1.5,W,M,M,M,W,M,M,M,2.25,2.33,2.2,2.2,2.25,3.0,2.85,2.8,3.0,2.87,3.3,3.15,3.3,3.0,3.0,22.0,22.0,2.0,1.084744583334224,1.0905462483435489,1.084548407829626,1.0872841553983514,1.0902342475079774,1.6092190778660092,1.6090455739649308,1.608529716246503,WMMM,WMMM,3,3,0,0,0,0,0,0,0,0,0.5,1.0,0.0,0.0,0.0
14,2006-09-17,Empoli,Chievo,1,1,D,2,1,1,2,1.5,0.0,W,M,M,M,L,M,M,M,2.2,2.15,2.2,2.1,2.2,3.0,2.95,2.9,3.0,2.87,3.4,3.35,3.2,3.2,3.1,8.0,4.0,2.0,1.0811473766265458,1.080465307754738,1.0854887512090026,1.0803472543206822,1.0873220406885782,1.6092634685150105,1.6092786511413646,1.6088726057508134,WMMM,LMMM,3,0,0,0,0,0,0,0,0,0,0.5,-0.5,1.5,1.5,4.0
15,2006-09-17,Lazio,Palermo,1,2,A,1,4,2,3,0.0,1.5,L,M,M,M,W,M,M,M,2.0,2.15,2.1,2.0,2.0,3.1,3.0,2.9,3.0,3.0,3.8,3.35,3.4,3.4,3.4,16.0,5.0,2.0,1.0611868035936214,1.079925392512573,1.077808039850819,1.0714078974436434,1.0714078974436434,1.6089759136176585,1.6092153524319799,1.6084123293820238,LMMM,WMMM,0,3,0,0,0,0,0,0,0,0,-0.5,0.5,-1.5,-1.5,11.0
16,2006-09-17,Livorno,Fiorentina,1,0,H,0,2,2,3,0.0,0.0,L,M,M,M,L,M,M,M,3.25,3.25,3.0,2.8,2.9,3.0,2.9,2.9,2.88,2.9,2.3,2.25,2.3,2.38,2.3,6.0,9.0,2.0,1.0871949452353709,1.0863967918473167,1.0913171526197254,1.094962498801255,1.092363940171662,1.6076357020971739,1.6093341386931512,1.6092768476921773,LMMM,LMMM,0,0,0,0,0,0,0,0,0,0,-1.0,-0.5,0.0,0.0,-3.0
17,2006-09-17,Parma,Milan,0,2,A,1,2,1,1,0.5,1.5,D,M,M,M,W,M,M,M,6.0,6.5,5.0,5.5,6.0,3.8,3.35,3.5,3.25,3.4,1.53,1.55,1.6,1.57,1.5,7.0,3.0,2.0,0.9365729461501903,0.9418737007464777,0.9815312694406688,0.9712412343878019,0.9438271522693753,1.6053487686488692,1.6080607583943434,1.6091962489024159,DMMM,WMMM,1,3,0,0,0,0,0,0,0,0,0.0,0.5,-1.0,-1.0,4.0
18,2006-09-17,Siena,Roma,1,3,A,2,2,1,0,1.5,1.5,W,M,M,M,W,M,M,M,4.0,4.2,3.8,3.75,3.75,3.25,3.2,3.1,3.0,3.0,1.9,1.83,1.9,1.91,1.9,15.0,2.0,2.0,1.0465755938895343,1.0364270917449465,1.0540964889917022,1.0576801158847755,1.056957220705558,1.608471475604064,1.6089042178807194,1.609313256613937,WMMM,WMMM,3,3,0,0,0,0,0,0,0,0,0.5,1.0,0.0,0.0,13.0
19,2006-09-17,Udinese,Torino,2,0,H,0,1,1,1,0.0,0.5,L,M,M,M,D,M,M,M,2.0,2.0,2.1,2.0,1.9,3.1,3.1,3.0,3.0,3.0,4.0,3.65,3.3,3.4,3.75,11.0,22.0,2.0,1.0565813584744406,1.064547597973692,1.0785682068276923,1.0714078974436434,1.0569572207055582,1.608936200322453,1.6093094709555211,1.6070783086358909,LMMM,DMMM,0,1,0,0,0,0,0,0,0,0,-0.5,0.0,-0.5,-0.5,-11.0
20,2006-09-20,Atalanta,Empoli,0,0,D,3,3,1,2,1.3333333333333333,1.3333333333333333,D,W,M,M,D,W,M,M,2.0,1.9,2.0,1.9,2.0,3.0,2.95,2.9,3.0,3.0,4.0,4.3,3.7,3.75,3.4,22.0,8.0,3.0,1.0579054247036734,1.0440706610996489,1.0660946534399702,1.0569572207055582,1.0714078974436434,1.6091201253626946,1.6093454589502911,1.606349246921967,DWMM,DWMM,4,4,0,0,0,0,0,0,0,0,0.6666666666666666,0.3333333333333333,0.0,0.0,14.0
21,2006-09-20,Cagliari,Livorno,2,2,D,1,1,3,2,0.0,1.0,L,L,M,M,W,L,M,M,2.25,2.2,2.2,2.2,2.25,2.87,2.8,3.0,2.8,3.0,3.5,3.5,3.1,3.2,2.87,14.0,6.0,3.0,1.0822482491693606,1.080772466262455,1.0859553120242538,1.0862899583827665,1.0902342475079774,1.6093774938646024,1.608956263107431,1.6065452612282867,LLMM,WLMM,0,3,0,0,0,0,0,0,0,0,-0.6666666666666666,-0.3333333333333333,-1.0,-1.0,8.0
22,2006-09-20,Chievo,Lazio,0,1,A,2,2,3,4,0.3333333333333333,0.0,D,L,M,M,L,L,M,M,2.5,2.45,2.3,2.25,2.37,2.87,2.9,3.0,3.0,3.0,3.0,2.9,2.9,2.87,2.7,4.0,16.0,3.0,1.0955213862844557,1.0953426493871414,1.0913171526197254,1.0902342475079774,1.0939423823536034,1.6086835594937172,1.6092478596109152,1.608837414159514,DLMM,LLMM,1,0,0,0,0,0,0,0,0,0,-0.3333333333333333,-0.6666666666666666,0.3333333333333333,0.3333333333333333,-12.0
23,2006-09-20,Fiorentina,Parma,1,0,H,2,1,4,3,0.0,0.3333333333333333,L,L,M,M,L,D,M,M,1.5,1.46,1.5,1.53,1.53,3.75,3.6,3.6,3.25,3.5,7.0,7.5,6.0,6.0,5.5,9.0,7.0,3.0,0.9104219227398274,0.8979445500239802,0.9376369622724492,0.9531010136607221,0.9579848640485421,1.6092885693439385,1.6082810605566071,1.6031683125907135,LLMM,LDMM,0,1,0,0,0,0,0,0,0,0,-0.6666666666666666,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333,2.0
24,2006-09-20,Messina,Reggina,2,0,H,2,5,1,5,1.3333333333333333,1.0,D,W,M,M,W,L,M,M,2.1,1.95,2.0,1.8,1.9,3.0,2.9,3.0,3.0,3.0,3.75,4.2,3.6,4.33,3.75,17.0,13.0,3.0,1.0695111929739114,1.0508775784697777,1.0670938948757507,1.0340496585496144,1.0569572207055582,1.6081144991846479,1.6093447194597363,1.6069001490444748,DWMM,WLMM,4,3,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,4.0
