,date,HomeTeam,AwayTeam,team,coordinate,score
0,2017-08-19,Juventus,Cagliari,away,81.8182,6.4
1,2017-08-19,Juventus,Cagliari,away,81.8182,5.8
2,2017-08-19,Juventus,Cagliari,away,59.0909,6.6
3,2017-08-19,Juventus,Cagliari,away,40.9091,5.9
4,2017-08-19,Juventus,Cagliari,away,40.9091,6.4
5,2017-08-19,Juventus,Cagliari,away,40.9091,6.2
6,2017-08-19,Juventus,Cagliari,away,18.1818,6.3
7,2017-08-19,Juventus,Cagliari,away,18.1818,6.3
8,2017-08-19,Juventus,Cagliari,away,18.1818,6.5
9,2017-08-19,Juventus,Cagliari,away,18.1818,5.9
10,2017-08-19,Juventus,Cagliari,away,0,6.1
11,2017-08-19,Juventus,Cagliari,home,81.8182,8.1
12,2017-08-19,Juventus,Cagliari,home,63.6364,8.1
13,2017-08-19,Juventus,Cagliari,home,63.6364,8.4
14,2017-08-19,Juventus,Cagliari,home,63.6364,7.1
15,2017-08-19,Juventus,Cagliari,home,45.4545,6.4
16,2017-08-19,Juventus,Cagliari,home,45.4545,7.9
17,2017-08-19,Juventus,Cagliari,home,22.7273,8.2
18,2017-08-19,Juventus,Cagliari,home,22.7273,7.4
19,2017-08-19,Juventus,Cagliari,home,22.7273,7.2
20,2017-08-19,Juventus,Cagliari,home,22.7273,7.8
21,2017-08-19,Juventus,Cagliari,home,0,8.2
22,2017-08-19,Verona,Napoli,away,77.2727,9.3
23,2017-08-19,Verona,Napoli,away,77.2727,7.6
24,2017-08-19,Verona,Napoli,away,77.2727,7.8
25,2017-08-19,Verona,Napoli,away,50,7.2
26,2017-08-19,Verona,Napoli,away,50,7.4
27,2017-08-19,Verona,Napoli,away,50,7.0
28,2017-08-19,Verona,Napoli,away,22.7273,7.6
29,2017-08-19,Verona,Napoli,away,22.7273,7.2
30,2017-08-19,Verona,Napoli,away,22.7273,5.8
31,2017-08-19,Verona,Napoli,away,22.7273,5.8
32,2017-08-19,Verona,Napoli,away,0,6.6
33,2017-08-19,Verona,Napoli,home,77.2727,6.5
34,2017-08-19,Verona,Napoli,home,77.2727,7.0
35,2017-08-19,Verona,Napoli,home,77.2727,5.9
36,2017-08-19,Verona,Napoli,home,50,6.3
37,2017-08-19,Verona,Napoli,home,50,6.1
38,2017-08-19,Verona,Napoli,home,50,6.0
39,2017-08-19,Verona,Napoli,home,22.7273,5.6
40,2017-08-19,Verona,Napoli,home,22.7273,6.8
41,2017-08-19,Verona,Napoli,home,22.7273,5.5
42,2017-08-19,Verona,Napoli,home,22.7273,6.1
43,2017-08-19,Verona,Napoli,home,0,8.4
44,2017-08-20,Atalanta,Roma,away,77.2727,6.8
45,2017-08-20,Atalanta,Roma,away,77.2727,6.4
46,2017-08-20,Atalanta,Roma,away,77.2727,6.4
47,2017-08-20,Atalanta,Roma,away,50,6.6
48,2017-08-20,Atalanta,Roma,away,50,7.6
49,2017-08-20,Atalanta,Roma,away,50,7.1
50,2017-08-20,Atalanta,Roma,away,22.7273,8.9
51,2017-08-20,Atalanta,Roma,away,22.7273,7.1
52,2017-08-20,Atalanta,Roma,away,22.7273,7.3
53,2017-08-20,Atalanta,Roma,away,22.7273,7.3
54,2017-08-20,Atalanta,Roma,away,0,8.0
55,2017-08-20,Atalanta,Roma,home,81.8182,6.2
56,2017-08-20,Atalanta,Roma,home,81.8182,8.5
57,2017-08-20,Atalanta,Roma,home,59.0909,5.9
58,2017-08-20,Atalanta,Roma,home,45.4545,6.7
59,2017-08-20,Atalanta,Roma,home,45.4545,6.8
60,2017-08-20,Atalanta,Roma,home,45.4545,6.8
61,2017-08-20,Atalanta,Roma,home,45.4545,6.3
62,2017-08-20,Atalanta,Roma,home,22.7273,7.0
63,2017-08-20,Atalanta,Roma,home,22.7273,6.8
64,2017-08-20,Atalanta,Roma,home,22.7273,7.1
65,2017-08-20,Atalanta,Roma,home,0,5.6
66,2017-08-20,Bologna,Torino,away,81.8182,6.4
67,2017-08-20,Bologna,Torino,away,63.6364,6.4
68,2017-08-20,Bologna,Torino,away,63.6364,8.2
69,2017-08-20,Bologna,Torino,away,63.6364,6.8
70,2017-08-20,Bologna,Torino,away,45.4545,7.1
71,2017-08-20,Bologna,Torino,away,45.4545,7.0
72,2017-08-20,Bologna,Torino,away,22.7273,6.5
73,2017-08-20,Bologna,Torino,away,22.7273,6.6
74,2017-08-20,Bologna,Torino,away,22.7273,6.7
75,2017-08-20,Bologna,Torino,away,22.7273,6.4
76,2017-08-20,Bologna,Torino,away,0,6.6
77,2017-08-20,Bologna,Torino,home,77.2727,7.7
78,2017-08-20,Bologna,Torino,home,77.2727,6.7
79,2017-08-20,Bologna,Torino,home,77.2727,7.5
80,2017-08-20,Bologna,Torino,home,50,7.0
