,date,HomeTeam,AwayTeam,team,coordinate,score
0,2015-08-22,Verona,Roma,away,77.2727,6.7
1,2015-08-22,Verona,Roma,away,77.2727,7.2
2,2015-08-22,Verona,Roma,away,77.2727,6.7
3,2015-08-22,Verona,Roma,away,50,7.5
4,2015-08-22,Verona,Roma,away,50,6.9
5,2015-08-22,Verona,Roma,away,50,7.2
6,2015-08-22,Verona,Roma,away,22.7273,6.4
7,2015-08-22,Verona,Roma,away,22.7273,6.5
8,2015-08-22,Verona,Roma,away,22.7273,6.0
9,2015-08-22,Verona,Roma,away,22.7273,7.8
10,2015-08-22,Verona,Roma,away,0,7.6
11,2015-08-22,Verona,Roma,home,77.2727,6.4
12,2015-08-22,Verona,Roma,home,77.2727,6.7
13,2015-08-22,Verona,Roma,home,77.2727,7.7
14,2015-08-22,Verona,Roma,home,50,6.3
15,2015-08-22,Verona,Roma,home,50,7.4
16,2015-08-22,Verona,Roma,home,50,8.0
17,2015-08-22,Verona,Roma,home,22.7273,7.3
18,2015-08-22,Verona,Roma,home,22.7273,7.2
19,2015-08-22,Verona,Roma,home,22.7273,6.6
20,2015-08-22,Verona,Roma,home,22.7273,6.4
21,2015-08-22,Verona,Roma,home,0,7.6
22,2015-08-22,Lazio,Bologna,away,81.8182,6.3
23,2015-08-22,Lazio,Bologna,away,81.8182,7.5
24,2015-08-22,Lazio,Bologna,away,59.0909,7.3
25,2015-08-22,Lazio,Bologna,away,40.9091,6.6
26,2015-08-22,Lazio,Bologna,away,40.9091,7.2
27,2015-08-22,Lazio,Bologna,away,40.9091,6.6
28,2015-08-22,Lazio,Bologna,away,18.1818,7.4
29,2015-08-22,Lazio,Bologna,away,18.1818,6.0
30,2015-08-22,Lazio,Bologna,away,18.1818,7.0
31,2015-08-22,Lazio,Bologna,away,18.1818,6.8
32,2015-08-22,Lazio,Bologna,away,0,7.3
33,2015-08-22,Lazio,Bologna,home,77.2727,7.4
34,2015-08-22,Lazio,Bologna,home,77.2727,7.4
35,2015-08-22,Lazio,Bologna,home,77.2727,7.4
36,2015-08-22,Lazio,Bologna,home,50,7.1
37,2015-08-22,Lazio,Bologna,home,50,6.7
38,2015-08-22,Lazio,Bologna,home,50,7.7
39,2015-08-22,Lazio,Bologna,home,22.7273,7.3
40,2015-08-22,Lazio,Bologna,home,22.7273,7.6
41,2015-08-22,Lazio,Bologna,home,22.7273,7.2
42,2015-08-22,Lazio,Bologna,home,22.7273,7.0
43,2015-08-22,Lazio,Bologna,home,0,6.6
44,2015-08-23,Juventus,Udinese,away,81.8182,6.4
45,2015-08-23,Juventus,Udinese,away,81.8182,8.0
46,2015-08-23,Juventus,Udinese,away,54.5455,7.7
47,2015-08-23,Juventus,Udinese,away,54.5455,6.4
48,2015-08-23,Juventus,Udinese,away,54.5455,6.8
49,2015-08-23,Juventus,Udinese,away,54.5455,7.4
50,2015-08-23,Juventus,Udinese,away,54.5455,6.3
51,2015-08-23,Juventus,Udinese,away,22.7273,7.2
52,2015-08-23,Juventus,Udinese,away,22.7273,7.8
53,2015-08-23,Juventus,Udinese,away,22.7273,6.9
54,2015-08-23,Juventus,Udinese,away,0,8.2
55,2015-08-23,Juventus,Udinese,home,81.8182,6.9
56,2015-08-23,Juventus,Udinese,home,81.8182,6.3
57,2015-08-23,Juventus,Udinese,home,54.5455,6.8
58,2015-08-23,Juventus,Udinese,home,54.5455,6.9
59,2015-08-23,Juventus,Udinese,home,54.5455,6.5
60,2015-08-23,Juventus,Udinese,home,54.5455,7.2
61,2015-08-23,Juventus,Udinese,home,54.5455,6.1
62,2015-08-23,Juventus,Udinese,home,22.7273,6.9
63,2015-08-23,Juventus,Udinese,home,22.7273,7.0
64,2015-08-23,Juventus,Udinese,home,22.7273,7.2
65,2015-08-23,Juventus,Udinese,home,0,6.2
66,2015-08-23,Palermo,Genoa,away,81.8182,6.2
67,2015-08-23,Palermo,Genoa,away,81.8182,6.8
68,2015-08-23,Palermo,Genoa,away,59.0909,6.8
69,2015-08-23,Palermo,Genoa,away,45.4545,6.8
70,2015-08-23,Palermo,Genoa,away,45.4545,6.6
71,2015-08-23,Palermo,Genoa,away,45.4545,7.0
72,2015-08-23,Palermo,Genoa,away,45.4545,6.9
73,2015-08-23,Palermo,Genoa,away,22.7273,6.9
74,2015-08-23,Palermo,Genoa,away,22.7273,7.1
75,2015-08-23,Palermo,Genoa,away,22.7273,6.2
76,2015-08-23,Palermo,Genoa,away,0,6.9
77,2015-08-23,Palermo,Genoa,home,81.8182,6.6
78,2015-08-23,Palermo,Genoa,home,81.8182,9.0
79,2015-08-23,Palermo,Genoa,home,54.5455,6.0
80,2015-08-23,Palermo,Genoa,home,54.5455,6.2
81,2015-08-23,Palermo,Genoa,home,54.5455,7.8
82,2015-08-23,Palermo,Genoa,home,54.5455,6.8
83,2015-08-23,Palermo,Genoa,home,54.5455,7.5
84,2015-08-23,Palermo,Genoa,home,22.7273,8.1
85,2015-08-23,Palermo,Genoa,home,22.7273,7.3
86,2015-08-23,Palermo,Genoa,home,22.7273,7.7
87,2015-08-23,Palermo,Genoa,home,0,7.5
88,2015-08-23,Sampdoria,Carpi,away,81.8182,6.1
89,2015-08-23,Sampdoria,Carpi,away,59.0909,7.6
90,2015-08-23,Sampdoria,Carpi,away,45.4545,7.0
91,2015-08-23,Sampdoria,Carpi,away,45.4545,6.1
92,2015-08-23,Sampdoria,Carpi,away,45.4545,6.3
93,2015-08-23,Sampdoria,Carpi,away,45.4545,7.4
94,2015-08-23,Sampdoria,Carpi,away,22.7273,5.4
95,2015-08-23,Sampdoria,Carpi,away,22.7273,5.5
96,2015-08-23,Sampdoria,Carpi,away,22.7273,6.2
97,2015-08-23,Sampdoria,Carpi,away,22.7273,5.2
98,2015-08-23,Sampdoria,Carpi,away,0,4.6
99,2015-08-23,Sampdoria,Carpi,home,81.8182,9.0
100,2015-08-23,Sampdoria,Carpi,home,81.8182,10
101,2015-08-23,Sampdoria,Carpi,home,59.0909,7.0
102,2015-08-23,Sampdoria,Carpi,home,40.9091,6.6
103,2015-08-23,Sampdoria,Carpi,home,40.9091,7.0
104,2015-08-23,Sampdoria,Carpi,home,40.9091,8.6
105,2015-08-23,Sampdoria,Carpi,home,18.1818,6.3
106,2015-08-23,Sampdoria,Carpi,home,18.1818,6.4
107,2015-08-23,Sampdoria,Carpi,home,18.1818,7.8
108,2015-08-23,Sampdoria,Carpi,home,18.1818,7.0
109,2015-08-23,Sampdoria,Carpi,home,0,8.6
110,2015-08-23,Sassuolo,Napoli,away,81.8182,6.5
111,2015-08-23,Sassuolo,Napoli,away,81.8182,6.5
112,2015-08-23,Sassuolo,Napoli,away,59.0909,6.4
113,2015-08-23,Sassuolo,Napoli,away,40.9091,6.9
