,date,HomeTeam,AwayTeam,team,coordinate,score
0,2009-08-22,Bologna,Fiorentina,away,81.8182,6.9
1,2009-08-22,Bologna,Fiorentina,away,63.6364,7.2
2,2009-08-22,Bologna,Fiorentina,away,63.6364,6.1
3,2009-08-22,Bologna,Fiorentina,away,63.6364,6.3
4,2009-08-22,Bologna,Fiorentina,away,45.4545,6.3
5,2009-08-22,Bologna,Fiorentina,away,45.4545,6.8
6,2009-08-22,Bologna,Fiorentina,away,22.7273,6.9
7,2009-08-22,Bologna,Fiorentina,away,22.7273,7.1
8,2009-08-22,Bologna,Fiorentina,away,22.7273,7.6
9,2009-08-22,Bologna,Fiorentina,away,22.7273,8.1
10,2009-08-22,Bologna,Fiorentina,away,0,6.7
11,2009-08-22,Bologna,Fiorentina,home,81.8182,7.5
12,2009-08-22,Bologna,Fiorentina,home,63.6364,6.9
13,2009-08-22,Bologna,Fiorentina,home,40.9091,6.8
14,2009-08-22,Bologna,Fiorentina,home,40.9091,7.5
15,2009-08-22,Bologna,Fiorentina,home,40.9091,6.4
16,2009-08-22,Bologna,Fiorentina,home,40.9091,7.6
17,2009-08-22,Bologna,Fiorentina,home,40.9091,7.0
18,2009-08-22,Bologna,Fiorentina,home,18.1818,6.8
19,2009-08-22,Bologna,Fiorentina,home,18.1818,7.7
20,2009-08-22,Bologna,Fiorentina,home,18.1818,7.2
21,2009-08-22,Bologna,Fiorentina,home,0,7.8
22,2009-08-22,Robur Siena,AC Milan,away,81.8182,6.9
23,2009-08-22,Robur Siena,AC Milan,away,63.6364,7.7
24,2009-08-22,Robur Siena,AC Milan,away,45.4545,7.5
25,2009-08-22,Robur Siena,AC Milan,away,45.4545,7.0
26,2009-08-22,Robur Siena,AC Milan,away,81.8182,9.3
27,2009-08-22,Robur Siena,AC Milan,away,22.7273,6.9
28,2009-08-22,Robur Siena,AC Milan,away,22.7273,7.3
29,2009-08-22,Robur Siena,AC Milan,away,45.4545,6.9
30,2009-08-22,Robur Siena,AC Milan,away,22.7273,6.8
31,2009-08-22,Robur Siena,AC Milan,away,22.7273,6.9
32,2009-08-22,Robur Siena,AC Milan,away,0,6.7
33,2009-08-22,Robur Siena,AC Milan,home,63.6364,6.9
34,2009-08-22,Robur Siena,AC Milan,home,81.8182,7.1
35,2009-08-22,Robur Siena,AC Milan,home,45.4545,6.2
36,2009-08-22,Robur Siena,AC Milan,home,45.4545,6.2
37,2009-08-22,Robur Siena,AC Milan,home,81.8182,6.4
38,2009-08-22,Robur Siena,AC Milan,home,22.7273,7.1
39,2009-08-22,Robur Siena,AC Milan,home,22.7273,7.1
40,2009-08-22,Robur Siena,AC Milan,home,45.4545,6.5
41,2009-08-22,Robur Siena,AC Milan,home,22.7273,6.6
42,2009-08-22,Robur Siena,AC Milan,home,22.7273,6.2
43,2009-08-22,Robur Siena,AC Milan,home,0,6.4
44,2009-08-23,Inter,Bari,away,54.5455,6.8
45,2009-08-23,Inter,Bari,away,81.8182,6.2
46,2009-08-23,Inter,Bari,away,81.8182,7.7
47,2009-08-23,Inter,Bari,away,22.7273,7.6
48,2009-08-23,Inter,Bari,away,54.5455,7.1
49,2009-08-23,Inter,Bari,away,54.5455,7.1
50,2009-08-23,Inter,Bari,away,22.7273,6.9
51,2009-08-23,Inter,Bari,away,22.7273,6.3
52,2009-08-23,Inter,Bari,away,54.5455,6.8
53,2009-08-23,Inter,Bari,away,22.7273,7.1
54,2009-08-23,Inter,Bari,away,0,6.9
55,2009-08-23,Inter,Bari,home,63.6364,6.5
56,2009-08-23,Inter,Bari,home,81.8182,7.3
57,2009-08-23,Inter,Bari,home,45.4545,6.6
58,2009-08-23,Inter,Bari,home,45.4545,6.4
59,2009-08-23,Inter,Bari,home,81.8182,7.8
60,2009-08-23,Inter,Bari,home,22.7273,6.6
61,2009-08-23,Inter,Bari,home,22.7273,7.7
62,2009-08-23,Inter,Bari,home,45.4545,6.9
63,2009-08-23,Inter,Bari,home,22.7273,6.8
64,2009-08-23,Inter,Bari,home,22.7273,7.6
65,2009-08-23,Inter,Bari,home,0,6.4
66,2009-08-23,Juventus,Chievo,away,63.6364,6.5
67,2009-08-23,Juventus,Chievo,away,81.8182,6.2
68,2009-08-23,Juventus,Chievo,away,45.4545,6.3
69,2009-08-23,Juventus,Chievo,away,81.8182,6.1
70,2009-08-23,Juventus,Chievo,away,45.4545,7.0
71,2009-08-23,Juventus,Chievo,away,22.7273,8.3
72,2009-08-23,Juventus,Chievo,away,22.7273,7.1
73,2009-08-23,Juventus,Chievo,away,22.7273,6.9
74,2009-08-23,Juventus,Chievo,away,45.4545,6.9
75,2009-08-23,Juventus,Chievo,away,22.7273,6.9
76,2009-08-23,Juventus,Chievo,away,0,6.5
