,date,HomeTeam,AwayTeam,team,coordinate,score
0,2012-08-25,Fiorentina,Udinese,away,81.8182,7
1,2012-08-25,Fiorentina,Udinese,away,63.6364,7
2,2012-08-25,Fiorentina,Udinese,away,40.9091,6.3
3,2012-08-25,Fiorentina,Udinese,away,40.9091,6.4
4,2012-08-25,Fiorentina,Udinese,away,40.9091,6.9
5,2012-08-25,Fiorentina,Udinese,away,40.9091,6.9
6,2012-08-25,Fiorentina,Udinese,away,40.9091,7.2
7,2012-08-25,Fiorentina,Udinese,away,18.1818,6.3
8,2012-08-25,Fiorentina,Udinese,away,18.1818,6.6
9,2012-08-25,Fiorentina,Udinese,away,18.1818,6.5
10,2012-08-25,Fiorentina,Udinese,away,0,7.7
11,2012-08-25,Fiorentina,Udinese,home,81.8182,7
12,2012-08-25,Fiorentina,Udinese,home,81.8182,9.9
13,2012-08-25,Fiorentina,Udinese,home,54.5455,7.9
14,2012-08-25,Fiorentina,Udinese,home,54.5455,6.7
15,2012-08-25,Fiorentina,Udinese,home,54.5455,8
16,2012-08-25,Fiorentina,Udinese,home,54.5455,8.1
17,2012-08-25,Fiorentina,Udinese,home,54.5455,6.3
18,2012-08-25,Fiorentina,Udinese,home,22.7273,6.6
19,2012-08-25,Fiorentina,Udinese,home,22.7273,7.2
20,2012-08-25,Fiorentina,Udinese,home,22.7273,7.7
21,2012-08-25,Fiorentina,Udinese,home,0,6.3
22,2012-08-25,Juventus,Parma,away,81.8182,6.7
23,2012-08-25,Juventus,Parma,away,81.8182,6.3
24,2012-08-25,Juventus,Parma,away,54.5455,6.5
25,2012-08-25,Juventus,Parma,away,54.5455,5.9
26,2012-08-25,Juventus,Parma,away,54.5455,6.2
27,2012-08-25,Juventus,Parma,away,54.5455,6.3
28,2012-08-25,Juventus,Parma,away,54.5455,5.9
29,2012-08-25,Juventus,Parma,away,22.7273,6.6
30,2012-08-25,Juventus,Parma,away,22.7273,6.6
31,2012-08-25,Juventus,Parma,away,22.7273,6.6
32,2012-08-25,Juventus,Parma,away,0,6.8
33,2012-08-25,Juventus,Parma,home,81.8182,6.9
34,2012-08-25,Juventus,Parma,home,81.8182,6.7
35,2012-08-25,Juventus,Parma,home,54.5455,7.4
36,2012-08-25,Juventus,Parma,home,54.5455,8.9
37,2012-08-25,Juventus,Parma,home,54.5455,7.5
38,2012-08-25,Juventus,Parma,home,54.5455,9.4
39,2012-08-25,Juventus,Parma,home,54.5455,8.2
40,2012-08-25,Juventus,Parma,home,22.7273,7.3
41,2012-08-25,Juventus,Parma,home,22.7273,7.4
42,2012-08-25,Juventus,Parma,home,22.7273,7.1
43,2012-08-25,Juventus,Parma,home,0,7.5
44,2012-08-26,AC Milan,Sampdoria,away,77.2727,6.3
45,2012-08-26,AC Milan,Sampdoria,away,77.2727,6.4
46,2012-08-26,AC Milan,Sampdoria,away,77.2727,6.3
47,2012-08-26,AC Milan,Sampdoria,away,50,7.5
48,2012-08-26,AC Milan,Sampdoria,away,50,7.5
49,2012-08-26,AC Milan,Sampdoria,away,50,7.3
50,2012-08-26,AC Milan,Sampdoria,away,22.7273,8.6
51,2012-08-26,AC Milan,Sampdoria,away,22.7273,8.2
52,2012-08-26,AC Milan,Sampdoria,away,22.7273,7.2
53,2012-08-26,AC Milan,Sampdoria,away,22.7273,7.9
54,2012-08-26,AC Milan,Sampdoria,away,0,8.2
55,2012-08-26,AC Milan,Sampdoria,home,81.8182,5.9
56,2012-08-26,AC Milan,Sampdoria,home,81.8182,7.3
57,2012-08-26,AC Milan,Sampdoria,home,63.6364,7.2
58,2012-08-26,AC Milan,Sampdoria,home,45.4545,6.2
59,2012-08-26,AC Milan,Sampdoria,home,45.4545,6.2
60,2012-08-26,AC Milan,Sampdoria,home,45.4545,6.9
61,2012-08-26,AC Milan,Sampdoria,home,22.7273,6.8
62,2012-08-26,AC Milan,Sampdoria,home,22.7273,5.8
63,2012-08-26,AC Milan,Sampdoria,home,22.7273,7.8
64,2012-08-26,AC Milan,Sampdoria,home,22.7273,7.5
65,2012-08-26,AC Milan,Sampdoria,home,0,6.2
66,2012-08-26,Palermo,Napoli,away,81.8182,9.2
67,2012-08-26,Palermo,Napoli,away,63.6364,6.6
68,2012-08-26,Palermo,Napoli,away,40.9091,7.9
69,2012-08-26,Palermo,Napoli,away,40.9091,6.5
70,2012-08-26,Palermo,Napoli,away,40.9091,8.3
71,2012-08-26,Palermo,Napoli,away,40.9091,7.1
72,2012-08-26,Palermo,Napoli,away,40.9091,9.1
73,2012-08-26,Palermo,Napoli,away,18.1818,7.2
74,2012-08-26,Palermo,Napoli,away,18.1818,7.7
75,2012-08-26,Palermo,Napoli,away,18.1818,7.7
76,2012-08-26,Palermo,Napoli,away,0,7.9
77,2012-08-26,Palermo,Napoli,home,81.8182,6.1
78,2012-08-26,Palermo,Napoli,home,81.8182,6.7
79,2012-08-26,Palermo,Napoli,home,54.5455,6.7
80,2012-08-26,Palermo,Napoli,home,54.5455,6.3
81,2012-08-26,Palermo,Napoli,home,54.5455,6.3
82,2012-08-26,Palermo,Napoli,home,54.5455,7
83,2012-08-26,Palermo,Napoli,home,54.5455,6.5
84,2012-08-26,Palermo,Napoli,home,22.7273,6.1
85,2012-08-26,Palermo,Napoli,home,22.7273,6.3
86,2012-08-26,Palermo,Napoli,home,22.7273,5.7
87,2012-08-26,Palermo,Napoli,home,0,5.6
88,2012-08-26,Pescara,Inter,away,81.8182,9.6
89,2012-08-26,Pescara,Inter,away,63.6364,8.4
90,2012-08-26,Pescara,Inter,away,63.6364,7.2
91,2012-08-26,Pescara,Inter,away,45.4545,7.2
92,2012-08-26,Pescara,Inter,away,45.4545,7.6
93,2012-08-26,Pescara,Inter,away,45.4545,7.6
94,2012-08-26,Pescara,Inter,away,22.7273,7.7
95,2012-08-26,Pescara,Inter,away,22.7273,7.9
96,2012-08-26,Pescara,Inter,away,22.7273,7.5
97,2012-08-26,Pescara,Inter,away,22.7273,7.8
98,2012-08-26,Pescara,Inter,away,0,8
99,2012-08-26,Pescara,Inter,home,77.2727,6.3
100,2012-08-26,Pescara,Inter,home,77.2727,5.8
101,2012-08-26,Pescara,Inter,home,77.2727,6.8
102,2012-08-26,Pescara,Inter,home,50,6.8
103,2012-08-26,Pescara,Inter,home,50,6.4
104,2012-08-26,Pescara,Inter,home,50,6.4
105,2012-08-26,Pescara,Inter,home,22.7273,7.1
106,2012-08-26,Pescara,Inter,home,22.7273,6
107,2012-08-26,Pescara,Inter,home,22.7273,6.2
108,2012-08-26,Pescara,Inter,home,22.7273,6.6
109,2012-08-26,Pescara,Inter,home,0,6
110,2012-08-26,Roma,Catania,away,77.2727,8.5
111,2012-08-26,Roma,Catania,away,77.2727,6.5
112,2012-08-26,Roma,Catania,away,77.2727,7.1
113,2012-08-26,Roma,Catania,away,50,7.2
114,2012-08-26,Roma,Catania,away,50,6.7
115,2012-08-26,Roma,Catania,away,50,6.9
116,2012-08-26,Roma,Catania,away,22.7273,7.7
117,2012-08-26,Roma,Catania,away,22.7273,6.4
118,2012-08-26,Roma,Catania,away,22.7273,6.7
119,2012-08-26,Roma,Catania,away,22.7273,6.4
120,2012-08-26,Roma,Catania,away,0,6.9
121,2012-08-26,Roma,Catania,home,77.2727,7.4
122,2012-08-26,Roma,Catania,home,77.2727,7.9
123,2012-08-26,Roma,Catania,home,77.2727,7.3
124,2012-08-26,Roma,Catania,home,50,7.4
125,2012-08-26,Roma,Catania,home,50,7.7
