,date,HomeTeam,AwayTeam,team,coordinate,score
0,2010-08-28,Udinese,Genoa,away,77.2727,7.0
1,2010-08-28,Udinese,Genoa,away,77.2727,6.0
2,2010-08-28,Udinese,Genoa,away,77.2727,5.9
3,2010-08-28,Udinese,Genoa,away,22.7273,8.1
4,2010-08-28,Udinese,Genoa,away,50,7.3
5,2010-08-28,Udinese,Genoa,away,50,7.7
6,2010-08-28,Udinese,Genoa,away,22.7273,7.1
7,2010-08-28,Udinese,Genoa,away,50,6.2
8,2010-08-28,Udinese,Genoa,away,22.7273,7.3
9,2010-08-28,Udinese,Genoa,away,50,6.7
10,2010-08-28,Udinese,Genoa,away,0,7.6
11,2010-08-28,Udinese,Genoa,home,68.1818,7.0
12,2010-08-28,Udinese,Genoa,home,81.8182,6.1
13,2010-08-28,Udinese,Genoa,home,68.1818,6.9
14,2010-08-28,Udinese,Genoa,home,22.7273,6.9
15,2010-08-28,Udinese,Genoa,home,45.4545,6.3
16,2010-08-28,Udinese,Genoa,home,45.4545,6.3
17,2010-08-28,Udinese,Genoa,home,22.7273,6.1
18,2010-08-28,Udinese,Genoa,home,45.4545,7.0
19,2010-08-28,Udinese,Genoa,home,22.7273,7.1
20,2010-08-28,Udinese,Genoa,home,45.4545,6.7
21,2010-08-28,Udinese,Genoa,home,0,6.8
22,2010-08-28,Roma,Cesena,away,77.2727,6.6
23,2010-08-28,Roma,Cesena,away,77.2727,6.7
24,2010-08-28,Roma,Cesena,away,77.2727,6.6
25,2010-08-28,Roma,Cesena,away,22.7273,7.5
26,2010-08-28,Roma,Cesena,away,50,6.9
27,2010-08-28,Roma,Cesena,away,50,7.1
28,2010-08-28,Roma,Cesena,away,22.7273,7.2
29,2010-08-28,Roma,Cesena,away,22.7273,7.0
30,2010-08-28,Roma,Cesena,away,50,6.5
31,2010-08-28,Roma,Cesena,away,22.7273,8.0
32,2010-08-28,Roma,Cesena,away,0,8.1
33,2010-08-28,Roma,Cesena,home,81.8182,7.1
34,2010-08-28,Roma,Cesena,home,63.6364,6.9
35,2010-08-28,Roma,Cesena,home,45.4545,7.4
36,2010-08-28,Roma,Cesena,home,81.8182,6.7
37,2010-08-28,Roma,Cesena,home,45.4545,6.3
38,2010-08-28,Roma,Cesena,home,22.7273,7.4
39,2010-08-28,Roma,Cesena,home,22.7273,7.6
40,2010-08-28,Roma,Cesena,home,22.7273,7.4
41,2010-08-28,Roma,Cesena,home,45.4545,7.6
42,2010-08-28,Roma,Cesena,home,22.7273,7.7
43,2010-08-28,Roma,Cesena,home,0,7.3
44,2010-08-29,Bari,Juventus,away,54.5455,5.9
45,2010-08-29,Bari,Juventus,away,81.8182,6.9
46,2010-08-29,Bari,Juventus,away,81.8182,6.0
47,2010-08-29,Bari,Juventus,away,54.5455,6.8
48,2010-08-29,Bari,Juventus,away,22.7273,7.5
49,2010-08-29,Bari,Juventus,away,54.5455,6.4
50,2010-08-29,Bari,Juventus,away,22.7273,6.9
51,2010-08-29,Bari,Juventus,away,54.5455,6.5
52,2010-08-29,Bari,Juventus,away,22.7273,8.2
53,2010-08-29,Bari,Juventus,away,22.7273,7.7
54,2010-08-29,Bari,Juventus,away,0,6.5
55,2010-08-29,Bari,Juventus,home,81.8182,6.9
56,2010-08-29,Bari,Juventus,home,54.5455,6.9
57,2010-08-29,Bari,Juventus,home,81.8182,7.2
58,2010-08-29,Bari,Juventus,home,22.7273,6.9
